ticket,commit_hash,java_file
STORM-3713,922ccfb5b790249120446d2813e5bc93343159c0,storm-server\src\main\java\org\apache\storm\zookeeper\LeaderListenerCallbackFactory.java
STORM-3713,922ccfb5b790249120446d2813e5bc93343159c0,storm-server\src\main\java\org\apache\storm\zookeeper\Zookeeper.java
STORM-3701,19e23ae4a44fcf8e74473a48d408a712cde45d64,storm-server\src\main\java\org\apache\storm\localizer\AsyncLocalizer.java
STORM-3696,feb103e267f591920918473e0360d578e2c34c9e,storm-client\src\jvm\org\apache\storm\daemon\supervisor\ClientSupervisorUtils.java
STORM-3695,e83fafcb884f4c630dbbe4a8656a4f93a41abe5b,storm-client\src\jvm\org\apache\storm\executor\Executor.java
STORM-3693,48de7483cfa9dd79bebdb51d1f678a09a0edaa4d,storm-client\src\jvm\org\apache\storm\hooks\IWorkerHook.java
STORM-3693,884c4cda1818d47730d99fa0e840028174cde422,storm-client\src\jvm\org\apache\storm\executor\Executor.java
STORM-3693,884c4cda1818d47730d99fa0e840028174cde422,storm-client\src\jvm\org\apache\storm\executor\spout\SpoutExecutor.java
STORM-3693,884c4cda1818d47730d99fa0e840028174cde422,storm-client\test\jvm\org\apache\storm\executor\SpoutExecutorTest.java
STORM-3693,6808fbc43f486ccae35279872f71fbcfc749a8ac,storm-client\src\jvm\org\apache\storm\executor\Executor.java
STORM-3690,1ab888a2aed84537f6300c20a43387a56fa92f4a,storm-server\src\main\java\org\apache\storm\scheduler\resource\normalization\NormalizedResourceRequest.java
STORM-3684,e82b9a707db38a814dbd2d8f85eeaac0fda0b75b,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerState.java
STORM-3679,02c349dd6d6cbfec6bad7eb54c9c25c6d6956cd1,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerState.java
STORM-3679,02c349dd6d6cbfec6bad7eb54c9c25c6d6956cd1,storm-client\src\jvm\org\apache\storm\grouping\LoadAwareShuffleGrouping.java
STORM-3679,02c349dd6d6cbfec6bad7eb54c9c25c6d6956cd1,storm-client\src\jvm\org\apache\storm\task\WorkerTopologyContext.java
STORM-3679,02c349dd6d6cbfec6bad7eb54c9c25c6d6956cd1,storm-client\test\jvm\org\apache\storm\grouping\LoadAwareShuffleGroupingTest.java
STORM-3677,8f0c26266d13094343c8a790a9ea7de8b1e7933f,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerState.java
STORM-3666,e794990f278fa01284daca94f0c1c577f056d513,storm-server\src\main\java\org\apache\storm\daemon\nimbus\Nimbus.java
STORM-3658,259567551048c4e131d990e9983dc86d0aa03388,storm-client\src\jvm\org\apache\storm\daemon\worker\Worker.java
STORM-3658,259567551048c4e131d990e9983dc86d0aa03388,storm-client\src\jvm\org\apache\storm\executor\ExecutorShutdown.java
STORM-3658,259567551048c4e131d990e9983dc86d0aa03388,storm-client\src\jvm\org\apache\storm\utils\Utils.java
STORM-3655,4fdfc0e919c70352c85ebe652dc50a929077d853,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerState.java
STORM-3655,07362f566132ff9392f2d320ed6aa4e78509258d,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerState.java
STORM-3652,bb199d574eae337d0512670dcc4957f3c7ef4922,storm-core\test\jvm\org\apache\storm\stats\TestStatsUtil.java
STORM-3652,bb199d574eae337d0512670dcc4957f3c7ef4922,storm-server\src\main\java\org\apache\storm\stats\StatsUtil.java
STORM-3652,bb199d574eae337d0512670dcc4957f3c7ef4922,storm-webapp\src\main\java\org\apache\storm\daemon\ui\UIHelpers.java
STORM-3652,bb199d574eae337d0512670dcc4957f3c7ef4922,storm-webapp\src\test\java\org\apache\storm\daemon\ui\UIHelpersTest.java
STORM-3649,0ceecaf3d08bee8e166ef47d2471688e17217e6a,storm-server\src\main\java\org\apache\storm\daemon\supervisor\BasicContainer.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-client\src\jvm\org\apache\storm\Config.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-client\src\jvm\org\apache\storm\security\auth\authorizer\SimpleACLAuthorizer.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-client\src\jvm\org\apache\storm\security\auth\authorizer\SupervisorSimpleACLAuthorizer.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-client\src\jvm\org\apache\storm\utils\ObjectReader.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-server\src\main\java\org\apache\storm\DaemonConfig.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-server\src\main\java\org\apache\storm\daemon\nimbus\Nimbus.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-server\src\main\java\org\apache\storm\daemon\supervisor\Container.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-server\src\main\java\org\apache\storm\utils\ServerConfigUtils.java
STORM-3631,0553e9a605d46addc8e01f021ad651296d2e4e8d,storm-server\src\test\java\org\apache\storm\daemon\supervisor\ContainerTest.java
STORM-3629,cbf07d94df68c5b2b63d5964ac2d85ecdd41a25e,storm-webapp\src\main\java\org\apache\storm\daemon\logviewer\handler\LogviewerLogPageHandler.java
